FrameNum      8 
Ball300-322   52305230523052305230523052305230523052305230523052305230523052305230523052305230523052305230
Ball323-345   61446144614461446144614461446144614461446144614461446144614461446144614461446144614461446144
Ball346-368   70197019701970197019701970197019701970197019701970197019701970197019701970197019701970197019
Ball369-391   78257825782578257825782578257825782578257825782578257825782578257825782578257825782578257825
Ball392-414   85358535853585358535853585358535853585358535853585358535853585358535853585358535853585358535
Ball415-437   91259125912591259125912591259125912591259125912591259125912591259125912591259125912591259125
Ball438-460   95749574957495749574957495749574957495749574957495749574957495749574957495749574957495749574
Ball461-483   98679867986798679867986798679867986798679867986798679867986798679867986798679867986798679867
Ball484-506   99949994999499949994999499949994999499949994999499949994999499949994999499949994999499949994
Ball507-529   99529952995299529952995299529952995299529952995299529952995299529952995299529952995299529952
Ball530-552   97409740974097409740974097409740974097409740974097409740974097409740974097409740974097409740
Ball553-575   93689368936893689368936893689368936893689368936893689368936893689368936893689368936893689368
Ball576-598   88468846884688468846884688468846884688468846884688468846884688468846884688468846884688468846
Ball599-621   81948194819481948194819481948194819481948194819481948194819481948194819481948194819481948194
Ball622-644   74337433743374337433743374337433743374337433743374337433743374337433743374337433743374337433
Ball645-667   65896589658965896589658965896589658965896589658965896589658965896589658965896589658965896589
Ball668-690   56905690569056905690569056905690569056905690569056905690569056905690569056905690569056905690
